S.N.	Reference No.	Name	Acc. No.	Valid From	Valid Upto	Remarks
820	H-2019-1539	MGM (Mohanlal Gupta Memorial) Hospital and Research Center, Katni, Madhya Pradesh, India	H-2021-0847	26 Aug 2024	25 Aug 2028	Renewed on 5th Edition
821	H-2019-1537	Jeevan Jyoti Hospital , Prayagraj, Uttar Pradesh, India	H-2021-0848	26 Aug 2024	25 Aug 2028	Renewed on 5th Edition
822	H-2019-1433	Sri Guru Ram Dass Charitable Hospital, Amritsar, Punjab, India	H-2021-0849	26 Aug 2024	25 Aug 2028	Renewed on 5th Edition
823	H-2020-1614	Armaan Hospital, Jalandhar, Punjab, India	H-2021-0850	26 Aug 2025	25 Aug 2029	Accredited on 5th Edition
824	H-2019-1428	Gaba Hospital, Yamuna Nagar, Haryana, India	H-2021-0852	09 Sep 2024	08 Sep 2028	Renewed on 5th Edition
825	H-2019-1399	Shalby Hospital, Jaipur, Rajasthan, India	H-2021-0853	09 Sep 2024	08 Sep 2028	Renewed on 5th Edition
826	H-2019-1402	Vikash Multi Specialty Hospital, Barahagoda, Orissa, India	H-2021-0854	09 Sep 2024	08 Sep 2028	Renewed on 5th Edition
827	H-2018-1360	Suchirayu Healthcare Solution Ltd., Hubli, Karnataka, India	H-2021-0855	09 Sep 2024	08 Sep 2028	Renewed on 5th Edition
828	H-2019-1519	Suyash Institute Of Medical Science Pvt. Ltd., Raipur, Chattisgarh, India	H-2021-0856	09 Sep 2024	08 Sep 2028	Renewed on 5th Edition
829	H-2020-1619	Paras JK Hospital (A Unit of Paras Healthcare Pvt. Ltd.), Udaipur, Rajasthan, India	H-2021-0857	09 Sep 2025	08 Sep 2029	Accredited on 5th Edition
830	H-2019-1465	M.J. Naidu Super Speciality Hospital, Vijayawada, Andhra Pradesh, India	H-2021-0858	16 Sep 2021	15 Sep 2024	Voluntary Withdrawal w.e.f. 29th March 2025
831	H-2020-1603	EPIC Hospital, Ahmedabad, Gujarat, India	H-2021-0859	16 Sep 2024	15 Sep 2028	Renewed on 5th Edition
832	H-2019-1396	M.B Multispeciality Hospitals, Visakhapatnam, Andhra Pradesh, India	H-2021-0860	16 Sep 2025	15 Sep 2029	Accredited on 5th Edition
833	H-2020-1581	Indus Jaipur Hospital (A Unit Sharma Memorial Hospital & Research Institute), Jaipur, Rajasthan, India	H-2021-0861	16 Sep 2025	15 Sep 2029	Accredited on 5th Edition
834	H-2021-1658	ABH Healthcare Private Limited (Earlier Certificate issued in the name of Anil Baghi Hospital), Ferozpur City, Punjab, India	H-2021-0862	23 Sep 2025	22 Sep 2029	Accredited on 5th Edition
835	H-2020-1632	R J Super Speciality Hospital, Jhajjar, Haryana, India	H-2021-0863	23 Sep 2025	22 Sep 2029	Accredited on 5th Edition
836	H-2019-1404	Satguru Partap Singh Hospitals, Ludhiana, Punjab, India	H-2021-0864	01 Oct 2024	30 Sep 2028	Renewed on 5th Edition
837	H-2019-1525	Vasal Hospital, Jalandhar, Punjab, India	H-2021-0865	01 Oct 2024	30 Sep 2028	Renewed on 5th Edition
838	H-2018-1306	Bombay Hospital & Research Centre, Jabalpur, Madhya Pradesh, India	H-2021-0866	01 Oct 2021	30 Sep 2025	Accredited on 5th Edition
839	H-2019-1387	Gurukripa Hospitals, Sikar, Rajasthan, India	H-2021-0867	07 Oct 2024	06 Oct 2028	Renewed on 5th Edition
840	H-2019-1526	Sparsh Hospital (A Unit Of Shiva & Shiva Orthopaedic Hospital Private Limited), Bangalore, Karnataka, India	H-2021-0868	05 Aug 2025	04 Aug 2029	Accredited on 5th Edition
841	H-2019-1468	Akashdeep Hospital, Amritsar, Punjab, India	H-2021-0869	14 Oct 2024	13 Oct 2028	Renewed on 5th Edition
842	H-2020-1602	HCG EKO Cancer Centre, Kolkata, West Bengal, India	H-2021-0870	28 Oct 2025	27 Oct 2029	Accredited on 6th Edition
843	H-2019-1419	Healthworld Hospitals A Unit Of Parashmani Medical Centre Pvt Ltd, Durgapur, West Bengal, India	H-2021-0871	09 Dec 2021	08 Dec 2025	Accredited on 5th Edition
844	H-2019-1424	Medigram The Super Speciality , Hospital, A Unit Of Saharanpur Institute Of Medical Sciences, Saharanpur, Uttar Pradesh, India	H-2021-0872	11 Nov 2024	10 Nov 2028	Renewed on 5th Edition
845	H-2019-1516	Mann Multispecialty Hospital, Rohtak, Haryana, India	H-2021-0873	11 Nov 2024	10 Nov 2028	Renewed on 5th Edition
846	H-2020-1582	Holy Cross Hospital, Nagercoil, Tamil Nadu, India	H-2021-0874	11 Nov 2021	10 Nov 2025	Accredited on 5th Edition
847	H-2020-1648	St.Thomas Hospital, Changanassery, Kottayam, Kerala, India	H-2021-0875	11 Nov 2025	10 Nov 2029	Accredited on 5th Edition
848	H-2018-1358	Leonard Hospital, Dindigul, Tamil Nadu, India	H-2021-0876	18 Nov 2021	17 Nov 2025	Accredited on 5th Edition
849	H-2020-1651	Pawan Hospital, Faridabad, Haryana, India	H-2021-0877	10 Nov 2021	09 Nov 2025	Accredited on 5th Edition
850	H-2016-1082	Krishna Hospital & Research Centre, Haldwani (Nanital), Uttarakhand, India	H-2021-0878	01 Dec 2024	30 Nov 2028	Renewed on 5th Edition
851	H-2014-0840	Kothari Medical Centre, Kolkata, West Bengal, India	H-2021-0879	01 Dec 2024	30 Nov 2028	Renewed on 5th Edition
852	H-2010-0417	Sadhu Vaswani Mission’s Medical Complex, Pune, Maharashtra, India	H-2021-0880	01 Dec 2024	30 Nov 2028	Renewed on 5th Edition
853	H-2018-1348	Sacred Heart Hospital, Thoothukudi, Tamil Nadu, India	H-2021-0881	01 Dec 2021	30 Nov 2025	Accredited on 5th Edition
854	H-2021-1714	SSB Heart And Multispecialty Hospital (A Unit of SSB Central Hospital and Research Center Limited), Faridabad, Haryana, India	H-2021-0882	01 Dec 2025	30 Nov 2029	Accredited on 6h Edition
855	H-2021-1748	Omega Hospitals ( A Unit Of Vizag Specialty Hospitals), Visakhapatnam, Andhra Pradesh, India	H-2021-0883	09 Dec 2021	08 Dec 2025	Accredited on 5th Edition
856	H-2019-1418	Vikram Aura Hospitals - (Earlier Certificate issued in the Name of Fortis Lafemme Hospital), Bangalore, Karnataka, India	H-2021-0884	16 Dec 2021	15 Dec 2025	Accredited on 5th Edition
857	H-2020-1640	Apollo DRDO Hospitals, Hyderabad, Telangana, India	H-2021-0885	16 Dec 2021	15 Dec 2025	Accredited on 5th Edition
858	H-2020-1633	Apollo Adlux Hospital (A Unit Of Adlux Medicity & Convention Centre Private Limited), Ernakulam, Kerala, India	H-2021-0886	16 Dec 2025	15 Dec 2029	Accredited on 6th Edition
859	H-2020-1556	Dr. Raghoji Kidney Hospital & Research Center Pvt. Ltd., Solapur, Maharashtra, India	H-2021-0887	23 Dec 2021	22 Dec 2025	Accredited on 5th Edition
860	H-2019-1408	SGT Medical College Hospital and Research Institute, Gurgaon, Haryana, India	H-2021-0888	23 Dec 2025	22 Dec 2029	Accredited on 6th Edition
861	H-2020-1641	Mahavir Jaipuria Rajasthan Hospital, Jaipur, Rajasthan, India	H-2021-0889	23 Dec 2025	22 Dec 2029	Accredited on 6th Edition
862	H-2021-1687	Krishna Institute of Medical Sciences Ltd., Nellore, Andhra Pradesh, India	H-2021-0890	23 Dec 2021	22 Dec 2025	Accredited on 5th Edition
863	H-2019-1478	Sri Venkateswara Institute Of Medical Sciences, Chittoor, Tirupati, Andhra Pradesh, India	H-2022-0891	06 Jan 2025	05 Jan 2029	Renewed on 5th Edition
864	H-2021-1666	Gunjkar Multispeciality Hospital, Pune, Maharashtra, India	H-2022-0892	06 Jan 2022	05 Jan 2026	Voluntary Withdrawal w.e.f 28th March 2025
865	H-2018-1244	Riddhivinayak Multispeciality Hospital, Palghar, Maharashtra, India	H-2022-0893	06 Jan 2022	05 Jan 2026	Accredited on 5th Edition
866	H-2020-1564	Charak Hospital & Research Centre, Lucknow, Uttar Pradesh, India	H-2022-0894	13 Jan 2025	12 Jan 2029	Renewed on 5th Edition
867	H-2019-1432	Healthway Hospitals Pvt. Ltd., Goa, Maharashtra, India	H-2022-0895	20 Jan 2025	19 Jan 2029	Renewed on 5th Edition
868	H-2018-1291	Medicover Hospital (A Unit of Sahrudaya Healthcare Pvt. Ltd.), Visakhapatnam, Andhra Pradesh, India	H-2022-0896	07 Oct 2021	06 Oct 2025	Voluntary Withdrawal w.e.f 18th March 2024
869	H-2019-1473	ANU Institute of Neuro & Cardiac Sciences (A Unit of Sri Anu Hospitals Pvt. Ltd.), Visakhapatnam, Andhra Pradesh, India	H-2022-0897	24 Jun 2021	23 Jun 2024	Accreditation Withdrawal w.e.f 9th February 2024
870	H-2021-1685	Shree Aggarsain International Hospital, New Delhi, Delhi, India	H-2022-0898	20 Jan 2022	19 Jan 2026	Accredited on 5th Edition
871	H-2021-1782	Omega Hospitals (Guntur Institute Of Oncology), Guntur, Andhra Pradesh, India	H-2022-0899	20 Jan 2022	19 Jan 2026	Accredited on 5th Edition
872	H-2019-1535	Lifeline Hospital, Pune , Haveli, Maharashtra, India	H-2022-0900	27 Jan 2025	26 Jan 2029	Renewed on 5th Edition
873	H-2018-1332	Royal Care Super Speciality Hospital Ltd., Sulur , Tamil Nadu, India	H-2022-0901	27 Jan 2025	26 Jan 2029	Renewed on 5th Edition
874	H-2018-1338	Ranjit Hospital, Amritsar, Punjab, India	H-2022-0902	27 Jan 2025	26 Jan 2029	Renewed on 5th Edition
875	H-2021-1734	Kailashi Super Speciality Hospital,Meerut, Mandya, Karnataka, India	H-2022-0903	27 Jan 2022	26 Jan 2026	Accredited on 5th Edition
876	H-2021-1670	DHS Multispecialty Hospital, Ahmedabad, Gujarat, India	H-2022-0904	05 Feb 2022	04 Feb 2026	Accredited on 5th Edition
877	H-2021-1769	N. C. Jindal Institute Of Medical Care & Research , Hisar, Haryana, India	H-2022-0905	16 Jun 2025	15 Jun 2029	Renewed on 5th Edition
878	H-2020-1637	BS Heartcare & Multispeciality Hospital, Kurukshetra, Haryana, India	H-2022-0906	10 Feb 2022	09 Feb 2026	Accredited on 5th Edition
879	H-2021-1681	Siddaganga Hospital (A Unit of Sree Siddaganga Math SSMCRI), Tumakuru, Karnataka, India	H-2022-0907	10 Feb 2022	09 Feb 2026	Accredited on 5th Edition
880	H-2020-1590	MMRRDI Seth Nandlal Dhoot Hospital, Aurangabad, Maharashtra, India	H-2022-0908	10 Feb 2022	09 Feb 2026	Accredited on 5th Edition
881	H-2020-1634	American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Pvt. Ltd.), Vijayawada, Andhra Pradesh, India	H-2022-0909	10 Mar 2022	09 Mar 2026	Accredited on 5th Edition
882	H-2018-1257	Shifa Hospitals, Tirunelveli, Tamil Nadu, India	H-2022-0910	10 Mar 2022	09 Mar 2026	Accredited on 5th Edition
883	H-2020-1624	RS Gaur Global Multispeciality Hospital Private Limited, Jhajjar, Haryana, India	H-2022-0911	10 Mar 2022	09 Mar 2026	Accredited on 5th Edition
884	H-2018-1270	Apollo Hospitals, Tondiarpet, Chennai, Tamil Nadu, India	H-2022-0912	10 Mar 2022	09 Mar 2026	Accredited on 5th Edition
885	H-2021-1736	Amar Medical & Research Centre, Jaipur, Rajasthan, India	H-2022-0913	17 Mar 2022	16 Mar 2026	Accredited on 5th Edition
886	H-2019-1503	Global Longlife Hospital & Research Pvt. Ltd., Ahmedabad, Gujarat, India	H-2022-0914	17 Mar 2022	16 Mar 2025	Forced Withdrawal of Accreditation w.e.f. 4th April 2024
887	H-2019-1482	Prolife Hospital, Ludhiana, Punjab, India	H-2022-0915	17 Mar 2022	16 Mar 2026	Accredited on 5th Edition
888	H-2020-1595	Shivalik Medical Centre Pvt. Limited, Noida, Uttar Pradesh, India	H-2022-0916	17 Mar 2022	16 Mar 2026	Accredited on 5th Edition
889	H-2021-1775	CKRD Memorial Hospital And Research Institute, Jhunjhunu, Rajasthan, India	H-2022-0917	17 Mar 2022	16 Mar 2026	Accredited on 5th Edition
890	H-2020-1601	HCG Hospitals (Unit of HCG Sun Hospitals LLP), Rajkot, Gujarat, India	H-2022-0918	17 Mar 2022	16 Mar 2026	Accredited on 5th Edition
891	H-2021-1716	GCS Medical College, Hospital & Research Centre, Ahmedabad, Gujarat, India	H-2022-0919	17 Mar 2022	16 Mar 2026	Accredited on 5th Edition
892	H-2017-1161	Shri Ram Murti Smarak Institute of Medical Sciences , Bareilly, Uttar Pradesh, India	H-2022-0920	23 Mar 2025	22 Mar 2029	Renewed on 5th Edition
893	H-2021-1693	Zydus Hospitals And Health Care Research Private Limited, Ahmedabad, Gujarat, India	H-2022-0921	23 Mar 2022	22 Mar 2026	Accredited on 5th Edition
894	H-2021-1758	CKS Hospital (A Unit of CKS Medicare Pvt. Ltd.), Jaipur, Rajasthan, India	H-2022-0922	23 Mar 2022	22 Mar 2026	Accredited on 5th Edition
895	H-2021-1657	Unity Trauma Center and ICU, Surat, Gujarat, India	H-2022-0923	23 Mar 2022	22 Mar 2026	Accredited on 5th Edition
896	H-2021-1735	Institute Of Human Behaviour And Allied Sciences, Delhi, Delhi, India	H-2022-0924	23 Mar 2022	22 Mar 2026	Accredited on 5th Edition
897	H-2019-1430	Jubilee Mission Medical College And Research Institute, Thrissur, Kerala, India	H-2022-0925	09 Apr 2025	08 Apr 2029	Renewed on 5th Edition
898	H-2019-1531	Chirayu Hospital, Jaipur, Rajasthan, India	H-2022-0926	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
899	H-2020-1622	Horizon Prime Hospital, Thane, Maharashtra, India	H-2022-0927	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
900	H-2021-1704	NIMS Medicity, Thiruvananthapuram, Neyyatinkara, Kerala, India	H-2022-0928	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
901	H-2018-1370	KMC Hospital Attavar Mangalore, Mangalore, Karnataka, India	H-2022-0929	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
902	H-2019-1445	Tirumala Medicover Hospital (Sahrudaya Health Care Vizianagaram Pvt. Ltd.), Vizianagaram, Andhra Pradesh, India	H-2022-0930	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
903	H-2021-1719	MGM Hospital and Research Centre , Mumbai, Maharashtra, India	H-2022-0931	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
904	H-2021-1692	Solapur Cancer Center, Solapur, Maharashtra, India	H-2022-0932	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
905	H-2021-1694	Shri Mahant Indiresh Hospital, Dehradun, Uttarakhand, India	H-2022-0933	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
906	H-2021-1737	BIG Apollo Spectra Hospitals, Patna, Bihar, India	H-2022-0934	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
907	H-2019-1417	Shree Narayana Hospital, Raipur, Chattisgarh, India	H-2022-0935	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
908	H-2021-1696	Medanta Lucknow (A Unit of Global Health Limited) - (Earlier Certificate issued in the Name Medanta Lucknow (A Unit of Medanta Holdings Pvt. Ltd.), Lucknow, Uttar Pradesh, India	H-2022-0936	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
909	H-2021-1701	Sewak Sabha Charitable Trust Hospital, Hisar, Haryana, India	H-2022-0937	09 Apr 2022	08 Apr 2026	Accredited on 5th Edition
910	H-2020-1583	Deep Nursing Home & Children Hospital, Ludhiana, Punjab, India	H-2022-0938	15 Apr 2025	14 Apr 2029	Renewed on 5th Edition
911	H-2018-1362	R.L. Jalappa Hospital And Research Center, Kolar, Karnataka, India	H-2022-0939	15 Apr 2022	14 Apr 2026	Accredited on 5th Edition
912	H-2019-1470	Sri Manakula Vinayagar Medical College and Hospital, Puducherry, Puducherry, India	H-2022-0940	15 Apr 2022	14 Apr 2026	Accredited on 5th Edition
913	H-2021-1680	Kauvery Hospitals (Bengaluru) Private Limited, Bangalore, Karnataka, India	H-2022-0941	23 Apr 2022	22 Apr 2026	Accredited on 5th Edition
914	H-2020-1607	St. Thomas Hospital, Chennai, Tamil Nadu, India	H-2022-0942	23 Apr 2022	22 Apr 2026	Accredited on 5th Edition
915	H-2017-1231	Orthonova Joint & Trauma Hospital Pvt. Ltd., Jalandhar, Punjab, India	H-2022-0943	30 Apr 2022	29 Apr 2025	
916	H-2021-1697	Ashwini Hospital, Cuttack, Orissa, India	H-2022-0944	30 Apr 2022	29 Apr 2026	Accredited on 5th Edition
917	H-2021-1705	Miri Piri Institute of Medical Sciences & Research (Chritable Trust), Markanda, Kurukshetra, Shahbad, Haryana, India	H-2022-0945	30 Apr 2022	29 Apr 2026	Accredited on 5th Edition
918	H-2021-1709	Health City Hospital (A Unit of North East Health City Pvt. Ltd.), Guwahati, Assam, India	H-2022-0946	30 Apr 2022	29 Apr 2026	Accredited on 5th Edition
919	H-2021-1703	Kota Heart Institute & Research Center, Kota, Rajasthan, India	H-2022-0947	30 Apr 2022	29 Apr 2026	Accredited on 5th Edition
920	H-2021-1750	Neuro One Hospital, Trichy, Trichy, Tamil Nadu, India	H-2022-0948	30 Apr 2022	29 Apr 2026	Accredited on 5th Edition
921	H-2021-1753	Kasturi Medical Centre Pvt. Ltd, Kolkata, West Bengal, India	H-2022-0949	30 Apr 2022	30 Apr 2026	Accredited on 5th Edition
922	H-2019-1489	KIMS Super Speciality Hospital Pvt. Ltd., Bilaspur, Chattisgarh, India	H-2022-0950	06 May 2025	05 May 2029	Renewed on 5th Edition
923	H-2019-1421	Sri Ramachandra Hospital, Chennai, Tamil Nadu, India	H-2022-0951	06 May 2022	05 May 2026	Accredited on 5th Edition
924	H-2019-1442	Rainbow Children's Medicare Pvt. Ltd., Chennai, Tamil Nadu, India	H-2022-0952	06 May 2022	05 May 2026	Accredited on 5th Edition
925	H-2021-1661	American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Private Limited), Guntur, Andhra Pradesh, India	H-2022-0953	06 May 2022	05 May 2026	Voluntary Withdrawal w.e.f. 9th April 2025
926	H-2018-1288	Sarvodya Hospital, Jalandhar, Punjab, India	H-2022-0954	06 May 2022	05 May 2026	Accredited on 5th Edition
927	H-2021-1770	Saraswati Mission Hospital, Kurukshetra, Haryana, India	H-2022-0955	06 May 2022	05 May 2026	Accredited on 5th Edition
928	H-2019-1411	Kshetrapal Hospital Multi Speciality And Research Centre, Ajmer, Rajasthan, India	H-2022-0956	06 May 2022	05 May 2026	Accredited on 5th Edition
929	H-2019-1544	GMR Varalakshmi Care Hospital, Srikakulam, Rajam, Andhra Pradesh, India	H-2022-0957	06 May 2022	05 May 2026	Accredited on 5th Edition
930	H-2021-1700	Lokmanya H S S, Pune, Maharashtra, India	H-2022-0958	19 May 2022	18 May 2026	Accredited on 5th Edition
931	H-2021-1792	Naruvi Hospitals, Vellore, Tamil Nadu, India	H-2022-0959	19 May 2022	18 May 2026	Accredited on 5th Edition
932	H-2019-1439	Guru Hospital, Madurai, Tamil Nadu, India	H-2022-0960	19 May 2022	18 May 2026	Accredited on 5th Edition
933	H-2021-1732	Muthu Meenakshi Hospitals, Pudukkottai, Tamil Nadu, India	H-2022-0961	19 May 2022	18 May 2026	Accredited on 5th Edition
934	H-2021-1771	Delhi Heart Institute & Multispeciality Hospital , Bathinda, Punjab, India	H-2022-0962	19 May 2022	18 May 2026	Accredited on 5th Edition
935	H-2020-1589	Divine Heart & Multispecialty Hospital (A Unit of Divine Heart Hospital & Research Centre Pvt. Ltd.), Lucknow, Uttar Pradesh, India	H-2022-0963	19 May 2022	18 May 2026	Accredited on 5th Edition
936	H-2020-1606	Niramaya Hospitals Pvt. Ltd., Pune, Maharashtra, India	H-2022-0964	29 May 2022	28 May 2026	Accredited on 5th Edition
937	H-2021-1676	Sant Parmanand Hospital, Delhi, Delhi, India	H-2022-0965	29 May 2022	28 May 2026	Accredited on 5th Edition
938	H-2021-1789	Arora Neuro Centre , Ludhiana, Punjab, India	H-2022-0966	29 May 2022	28 May 2026	Accredited on 5th Edition
939	H-2020-1650	Sree Mookambika Institute of Medical Sciences, Kanyakumari, Tamil Nadu, India	H-2022-0967	29 May 2022	28 May 2026	Accredited on 5th Edition
940	H-2020-1644	Apollo Institute of Medical Sciences and Research Hospital, Hyderabad, Telangana, India	H-2022-0968	02 Jun 2022	01 Jun 2026	Accredited on 5th Edition
941	H-2020-1621	Saraswathy Hospital, Trivandrum, Kerala, India	H-2022-0969	02 Jun 2022	01 Jun 2026	Accredited on 5th Edition
942	H-2021-1679	Mahatma Gandhi Medical College And Research Institute, Pillaiyarkuppam, Puducherry, India	H-2022-0970	02 Jun 2022	01 Jun 2026	Accredited on 5th Edition
943	H-2022-1819	CHL Charitable Trust, Indore, Madhya Pradesh, India	H-2022-0971	02 Jun 2022	01 Jun 2026	Accredited on 5th Edition
944	H-2021-1802	Surat Institute of Medical Science LLP, Surat, Gujarat, India	H-2022-0972	02 Jun 2022	01 Jun 2026	Accredited on 5th Edition
945	H-2021-1660	Cygnus Super Speciality Hospital, Kurukshetra, Haryana, India	H-2022-0973	10 Jun 2022	09 Jun 2026	Accredited on 5th Edition
946	H-2022-1817	Kunal Hospital, Nagpur, Maharashtra, India	H-2022-0974	10 Jun 2022	09 Jun 2026	Accredited on 5th Edition
947	H-2021-1779	LN Medical College & J.K. Hospital, Bhopal, Madhya Pradesh, India	H-2022-0975	16 Jun 2022	15 Jun 2026	Forced Withdrawal of Accreditation w.e.f. 5th November 2025
948	H-2021-1688	St.Joseph Hospital, Dindigul, Tamil Nadu, India	H-2022-0976	16 Jun 2022	15 Jun 2026	Accredited on 5th Edition
949	H-2021-1715	Medicover Hospital, Aurangabad, Aurangabad, Maharashtra, India	H-2022-0977	16 Jun 2022	15 Jun 2026	Accredited on 5th Edition
950	H-2021-1746	Holy Heart Super Specialty & Trauma Center, Rohtak, Haryana, India	H-2022-0978	23 Jun 2022	22 Jun 2026	Accredited on 5th Edition
951	H-2021-1774	Jeevan Anmol Hospital, New Delhi, Delhi, India	H-2022-0979	23 Jun 2022	22 Jun 2026	Accredited on 5th Edition
952	H-2021-1790	Bharat Multispeciality Hospital, Hisar, Haryana, India	H-2022-0980	30 Jun 2022	29 Jun 2026	Accredited on 5th Edition
953	H-2021-1739	IQRAA International Hospital & Research Centre, Kozhikode, Kerala, India	H-2022-0981	30 Jun 2022	29 Jun 2026	Accredited on 5th Edition
954	H-2019-1429	Lotus Hospitals and Research Centre Limited, Erode, Tamil Nadu, India	H-2022-0982	30 Jun 2022	29 Jun 2026	Accredited on 5th Edition
955	H-2021-1743	Advanta Super Speciality Hospital, Jhajjar, Haryana, India	H-2022-0983	08 Jul 2022	07 Jul 2026	Accredited on 5th Edition
956	H-2021-1725	Shree Jagannath Hospital & Research Centre, Ranchi, Jharkhand, India	H-2022-0984	14 Jul 2022	13 Jul 2026	Accredited on 5th Edition
957	H-2020-1598	Aartham Multi Super Specialty Hospital, Ahmedabad, Gujarat, India	H-2022-0985	14 Jul 2022	13 Jul 2026	Accredited on 5th Edition
958	H-2020-1586	Sunrise Hospitals (A Unit of NS Health Care Services Pvt. Ltd.), Vijayawada, Andhra Pradesh, India	H-2022-0986	14 Jul 2022	13 Jul 2026	Accredited on 5th Edition
959	H-2020-1629	Ivory Hospital Pvt. Ltd., Greater Noida, Uttar Pradesh, India	H-2022-0987	14 Jul 2022	13 Jul 2026	Accredited on 5th Edition
960	H-2019-1401	Brahmchaitanya Superspeciality Hospital Pvt. Ltd., Pune, Maharashtra, India	H-2022-0988	14 Jul 2022	13 Jul 2026	Accredited on 5th Edition
961	H-2019-1443	Bharati Vidyapeeth (Deemed To Be University) Medical College And Hospital Sangli, Sangli, Maharashtra, India	H-2022-0989	21 Jul 2022	20 Jul 2026	Accredited on 5th Edition
962	H-2021-1796	Tata Main Hospital, Jamshedpur, Jharkhand, India	H-2022-0990	21 Jul 2022	20 Jul 2026	Accredited on 5th Edition
963	H-2021-1766	Utkal Healthcare Private Limited , Bhubneshwar, Orissa, India	H-2022-0991	21 Jul 2022	20 Jul 2026	Forced Withdrawal of Accreditation w.e.f. 10th July 2025
964	H-2021-1806	Supreme Hospitals Private Limited - (Earlier Certificate issued in the Name of Supreme Hospital), Faridabad, Haryana, India	H-2022-0992	21 Jul 2022	20 Jul 2026	Accredited on 5th Edition
965	H-2021-1711	Career Institute Of Medical Sciences (C.I.M.S), Bhopal, Madhya Pradesh, India	H-2022-0993	04 Aug 2022	03 Aug 2026	Accredited on 5th Edition
966	H-2020-1643	SKR Hospital & Trauma Centre Pvt. Ltd., Pathankot, Punjab, India	H-2022-0994	04 Aug 2022	03 Aug 2026	Accredited on 5th Edition
967	H-2021-1702	KJMH Lifecare Private Limited - (Earlier Certificate issued in the Name of K J Multispecialty Hospital), Junagadh, Gujarat, India	H-2022-0995	04 Aug 2022	03 Aug 2026	Accredited on 5th Edition
968	H-2019-1521	Rainbow Children's Medicare Pvt. Ltd., Medchal, Kukatpally, Telangana, India	H-2022-0996	04 Aug 2022	03 Aug 2026	Accredited on 5th Edition
969	H-2019-1388	Harshitha Hospital (P) Ltd., Madurai, Tamil Nadu, India	H-2022-0997	04 Aug 2022	03 Aug 2026	Voluntary Withdrawal w.e.f. 10th July 2024 and application closed
970	H-2021-1708	Swagat Super Speciality Surgical Institute & NH, Guwahati, Assam, India	H-2022-0998	04 Aug 2022	03 Aug 2026	Accredited on 5th Edition
971	H-2021-1686	Manorama Hospitex Pvt Ltd, Ranaghat, West Bengal, India	H-2022-0999	04 Aug 2022	03 Aug 2026	Accredited on 5th Edition
972	H-2020-1570	Aster RV Hospital ( A Unit of Aster DM Healthcare Ltd.), Bangalore, Karnataka, India	H-2022-1000	04 Aug 2022	03 Aug 2026	Accredited on 5th Edition
973	H-2020-1647	Heritage Healthcare Private Limited - (Earlier Certificate issued in the Name of Heritage Hospital), Varanasi, Uttar Pradesh, India	H-2022-1001	11 Aug 2022	10 Aug 2026	Accredited on 5th Edition
974	H-2021-1754	Flores Hospital (A Unit of Mridula Healthcare Pvt. Ltd.) - (Earlier Certificate issued in the Name of Flores Hospital), Ghaziabad, Uttar Pradesh, India	H-2022-1002	11 Aug 2022	10 Aug 2026	Accredited on 5th Edition
975	H-2021-1805	American Oncology Institute, Nagpur, Maharashtra, India	H-2022-1003	11 Aug 2022	10 Aug 2026	Accredited on 5th Edition
976	H-2021-1671	Sparsh Neuro & Superspeciality Hospital, Solapur, Maharashtra, India	H-2022-1004	11 Aug 2022	10 Aug 2026	Voluntary Withdrawal w.e.f. 29th March 2025
977	H-2022-1813	S N Super Speciality Hospital Pvt. Ltd., Sri Ganganagar, Rajasthan, India	H-2022-1005	11 Aug 2022	10 Aug 2026	Accredited on 5th Edition
978	H-2022-1857	Zydus Sitapur Hospital, Ahmedabad, Gujarat, India	H-2022-1006	11 Aug 2022	10 Aug 2026	Accredited on 5th Edition
979	H-2020-1608	Asian Noble Hospital Pvt. Ltd., Ahmednagar, Maharashtra, India	H-2022-1007	11 Aug 2022	10 Aug 2026	Accredited on 5th Edition
980	H-2021-1656	Saveera Institute of Medical Sciences Private Limited, Anantapur, Andhra Pradesh, India	H-2022-1008	25 Aug 2022	24 Aug 2026	Accredited on 5th Edition
981	H-2021-1699	Sri Sharanya Nursing Home and Critical Care Centre, Warangal, Hanamkonda, Telangana, India	H-2022-1009	25 Aug 2022	24 Aug 2026	Accredited on 5th Edition
982	H-2022-1863	Pulse Multispeciality Hospital & Research Centre ( A Unit Of Raja Bhrathari Healthcare Pvt Ltd .), Jaipur, Rajasthan, India	H-2022-1010	25 Aug 2022	24 Aug 2026	Accredited on 5th Edition
983	H-2022-1821	Shri Balaji Aarogyam Hospital Pvt Ltd, Kurukshetra, Haryana, India	H-2022-1011	25 Aug 2022	24 Aug 2026	Accredited on 5th Edition
